timestamp,market_ticker,yes_bid,yes_ask,no_bid,no_ask
2026-05-05 18:36:10,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:36:11,KXBTC15M-26MAY051845-45,0.01,0.015,0.985,0.99
2026-05-05 18:36:12,KXBTC15M-26MAY051845-45,0.013,0.018,0.982,0.987
2026-05-05 18:36:13,KXBTC15M-26MAY051845-45,0.013,0.016,0.984,0.987
2026-05-05 18:36:14,KXBTC15M-26MAY051845-45,0.013,0.015,0.985,0.987
2026-05-05 18:36:15,KXBTC15M-26MAY051845-45,0.012,0.018,0.982,0.988
2026-05-05 18:36:16,KXBTC15M-26MAY051845-45,0.015,0.017,0.983,0.985
2026-05-05 18:36:17,KXBTC15M-26MAY051845-45,0.011,0.015,0.985,0.989
2026-05-05 18:36:18,KXBTC15M-26MAY051845-45,0.012,0.013,0.987,0.988
2026-05-05 18:36:19,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:36:20,KXBTC15M-26MAY051845-45,0.011,0.015,0.985,0.989
2026-05-05 18:36:21,KXBTC15M-26MAY051845-45,0.011,0.014,0.986,0.989
2026-05-05 18:36:22,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:23,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:24,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:25,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:26,KXBTC15M-26MAY051845-45,0.01,0.015,0.985,0.99
2026-05-05 18:36:27,KXBTC15M-26MAY051845-45,0.017,0.018,0.982,0.983
2026-05-05 18:36:28,KXBTC15M-26MAY051845-45,0.012,0.018,0.982,0.988
2026-05-05 18:36:29,KXBTC15M-26MAY051845-45,0.011,0.012,0.988,0.989
2026-05-05 18:36:30,KXBTC15M-26MAY051845-45,0.01,0.017,0.983,0.99
2026-05-05 18:36:31,KXBTC15M-26MAY051845-45,0.01,0.016,0.984,0.99
2026-05-05 18:36:32,KXBTC15M-26MAY051845-45,0.01,0.013,0.987,0.99
2026-05-05 18:36:33,KXBTC15M-26MAY051845-45,0.01,0.012,0.988,0.99
2026-05-05 18:36:34,KXBTC15M-26MAY051845-45,0.01,0.011,0.989,0.99
2026-05-05 18:36:35,KXBTC15M-26MAY051845-45,0.01,0.013,0.987,0.99
2026-05-05 18:36:36,KXBTC15M-26MAY051845-45,0.01,0.012,0.988,0.99
2026-05-05 18:36:37,KXBTC15M-26MAY051845-45,0.01,0.015,0.985,0.99
2026-05-05 18:36:38,KXBTC15M-26MAY051845-45,0.01,0.015,0.985,0.99
2026-05-05 18:36:39,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:40,KXBTC15M-26MAY051845-45,0.01,0.013,0.987,0.99
2026-05-05 18:36:41,KXBTC15M-26MAY051845-45,0.012,0.013,0.987,0.988
2026-05-05 18:36:42,KXBTC15M-26MAY051845-45,0.01,0.012,0.988,0.99
2026-05-05 18:36:43,KXBTC15M-26MAY051845-45,0.011,0.013,0.987,0.989
2026-05-05 18:36:44,KXBTC15M-26MAY051845-45,0.011,0.014,0.986,0.989
2026-05-05 18:36:45,KXBTC15M-26MAY051845-45,0.011,0.014,0.986,0.989
2026-05-05 18:36:46,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:47,KXBTC15M-26MAY051845-45,0.01,0.014,0.986,0.99
2026-05-05 18:36:48,KXBTC15M-26MAY051845-45,0.01,0.015,0.985,0.99
2026-05-05 18:36:49,KXBTC15M-26MAY051845-45,0.01,0.015,0.985,0.99
