date,starting_balance,ending_balance,net_change,number_rounds_traded,rounds_sold_after_buying,logged_at
2026-05-31,23.77,18.63,-5.14,44,,2026-06-01 00:00:11
2026-06-01,18.66,32.95,14.29,69,KXETH15M-26JUN010930-30 YES sold 09:29:55 @ 99.9c,2026-06-02 00:00:05
2026-06-02,33.01,43.0,9.99,87,KXETH15M-26JUN021415-15 YES sold 14:14:18 @ 74.0c,2026-06-03 00:00:01
2026-06-03,43.0,40.82,-2.18,77,KXETH15M-26JUN030130-30 NO sold 01:29:48 @ 99.5c,2026-06-04 00:00:08
2026-06-04,40.9,50.32,9.42,65,KXETH15M-26JUN041315-15 YES sold 13:14:52 @ 99.9c,2026-06-05 00:00:19
2026-06-05,50.43,22.66,-27.77,70,KXETH15M-26JUN051215-15 NO sold 12:14:01 @ 34.0c,2026-06-06 00:00:08
2026-06-06,22.66,26.81,4.15,84,KXETH15M-26JUN060430-30 YES sold 04:28:54 @ 99.6c; KXETH15M-26JUN061700-00 NO sold 16:59:11 @ 99.0c,2026-06-07 00:00:00
2026-06-07,26.83,14.04,-12.79,75,KXETH15M-26JUN071000-00 YES sold 09:59:44 @ 99.6c; KXETH15M-26JUN071015-15 YES sold 10:14:49 @ 99.9c,2026-06-08 00:00:01
2026-06-08,14.06,17.35,3.29,79,KXETH15M-26JUN080745-45 YES sold 07:44:55 @ 99.9c; KXETH15M-26JUN081515-15 YES sold 15:14:42 @ 99.4c; KXETH15M-26JUN082345-45 NO sold 23:44:37 @ 99.8c,2026-06-09 00:00:02
2026-06-09,17.36,26.02,8.66,75,,2026-06-10 00:00:13
2026-06-10,26.02,9.9,-16.12,49,KXETH15M-26JUN100015-15 NO sold 00:14:34 @ 99.0c; KXETH15M-26JUN100215-15 YES sold 02:14:32 @ 99.9c; KXETH15M-26JUN101100-00 NO sold 10:59:42 @ 46.0c,2026-06-11 00:00:07
2026-06-11,9.9,10.35,0.45,65,,2026-06-12 00:00:07
2026-06-12,10.36,10.42,0.06,66,,2026-06-13 00:00:01
2026-06-13,10.42,11.43,1.01,58,KXETH15M-26JUN130115-15 YES sold 01:14:45 @ 99.5c,2026-06-14 00:00:07
2026-06-14,11.44,15.41,3.97,67,KXETH15M-26JUN142230-30 YES sold 22:29:25 @ 99.1c,2026-06-15 00:00:07
2026-06-15,15.41,17.39,1.98,75,KXETH15M-26JUN150330-30 YES sold 03:29:49 @ 99.4c; KXETH15M-26JUN151845-45 YES sold 18:44:35 @ 99.0c,2026-06-16 00:00:12
2026-06-16,17.4,21.38,3.98,72,,2026-06-17 00:00:00
2026-06-17,21.36,25.52,4.16,54,,2026-06-18 00:00:12
