session_number,session_date,session_start_time,session_end_time,market_ticker,starting_balance,ending_balance,session_pnl,session_pnl_percent,trade_number,side,buy_time,buy_price,buy_quantity,buy_cost,buy_order_id,sold,sell_time,sell_price,sell_quantity,sell_proceeds,sell_order_id,exit_type,trade_pnl,trade_pnl_percent,hold_duration_seconds,outcome,emergency_exit,emergency_exit_time,emergency_exit_price,boundary_difference,market_outcome
1,2026-05-31,2026-05-31 11:40:30,2026-05-31 11:44:58,KXETH15M-26MAY311145-45,23.77,23.814999999999998,0.04499999999999815,0.1893142616743717,1,NO,2026-05-31 11:42:52,0.995,9,8.955,729ba647-2051-442b-8b1f-1289e2af32b8,True,2026-05-31 11:44:58,1.0,9,9.0,,SETTLEMENT,0.04500000000000004,0.5025125628140708,126,WIN,False,,,,NO
1,2026-05-31,2026-05-31 12:12:09,2026-05-31 12:14:55,KXETH15M-26MAY311215-15,23.86,23.865,0.004999999999999005,0.020955574182728438,1,NO,2026-05-31 12:13:09,0.995,1,0.995,b70660c7-2b93-40f0-92ec-e569d7c8a684,True,2026-05-31 12:14:55,1.0,1,1.0,,SETTLEMENT,0.0050000000000000044,0.5025125628140708,106,WIN,False,,,,NO
2,2026-05-31,2026-05-31 12:16:07,2026-05-31 12:29:57,KXETH15M-26MAY311230-30,23.91,23.955,0.04499999999999815,0.188205771643656,1,NO,2026-05-31 12:29:26,0.995,9,8.955,f3ab5fbe-d2b2-4fd2-a00a-5ef30705e24e,True,2026-05-31 12:29:57,1.0,9,9.0,,SETTLEMENT,0.04500000000000004,0.5025125628140708,31,WIN,False,,,,NO
3,2026-05-31,2026-05-31 12:31:07,2026-05-31 12:44:59,KXETH15M-26MAY311245-45,24.1,24.145000000000003,0.045000000000001705,0.18672199170125187,1,NO,2026-05-31 12:41:22,0.9949999999999998,9,8.954999999999998,e568a625-244a-4dc0-931b-52d2fd47314c,True,2026-05-31 12:44:59,1.0,9,9.0,,SETTLEMENT,0.04500000000000204,0.5025125628140932,217,WIN,False,,,,NO
4,2026-05-31,2026-05-31 12:46:12,2026-05-31 12:59:58,KXETH15M-26MAY311300-00,24.18,24.225,0.045000000000001705,0.18610421836228994,1,YES,2026-05-31 12:59:33,0.995,9,8.955,45f221f3-ac1e-45d0-b892-803149181837,True,2026-05-31 12:59:58,1.0,9,9.0,,SETTLEMENT,0.04500000000000004,0.5025125628140708,25,WIN,False,,,,YES
5,2026-05-31,2026-05-31 13:01:07,2026-05-31 13:14:57,KXETH15M-26MAY311315-15,24.27,24.335,0.06500000000000128,0.26782035434693563,1,NO,2026-05-31 13:12:45,0.9927777777777776,9,8.934999999999999,b75a4917-8c05-4936-88e7-1230f00bbe71,True,2026-05-31 13:14:57,1.0,9,9.0,,SETTLEMENT,0.06500000000000117,0.7274762171236842,132,WIN,False,,,,NO
6,2026-05-31,2026-05-31 13:16:12,2026-05-31 13:29:55,KXETH15M-26MAY311330-30,24.42,24.465000000000003,0.045000000000001705,0.18427518427519124,1,YES,2026-05-31 13:28:22,0.995,9,8.955,4041e247-146e-4151-aac9-21465f5874d1,True,2026-05-31 13:29:55,1.0,9,9.0,,SETTLEMENT,0.04500000000000004,0.5025125628140708,93,WIN,False,,,,YES
7,2026-05-31,2026-05-31 13:31:07,2026-05-31 13:44:55,KXETH15M-26MAY311345-45,24.51,24.555,0.04499999999999815,0.18359853121174277,1,YES,2026-05-31 13:38:16,0.995,9,8.955,e541722e-ea9a-4c77-a27d-0480807207c6,True,2026-05-31 13:44:55,1.0,9,9.0,,SETTLEMENT,0.04500000000000004,0.5025125628140708,399,WIN,False,,,,YES
8,2026-05-31,2026-05-31 13:46:12,2026-05-31 13:59:55,KXETH15M-26MAY311400-00,24.59,24.61,0.019999999999999574,0.08133387555916866,1,YES,2026-05-31 13:59:16,0.995,4,3.98,b6c9d479-81e4-446f-9455-2d6d4923663e,True,2026-05-31 13:59:55,1.0,4,4.0,,SETTLEMENT,0.020000000000000018,0.5025125628140708,39,WIN,False,,,,YES
9,2026-05-31,2026-05-31 14:01:07,2026-05-31 14:14:56,KXETH15M-26MAY311415-15,24.61,24.615,0.004999999999999005,0.020316944331568488,1,NO,2026-05-31 14:13:32,0.995,1,0.995,6a94762e-5f4e-4338-86fa-c66c3cf1c73d,True,2026-05-31 14:14:56,1.0,1,1.0,,SETTLEMENT,0.0050000000000000044,0.5025125628140708,84,WIN,False,,,,NO
